----- SERVER 1-----
getNumberOfCountries_40_59748_120315 23
getNumberOfCountries_31_41697_128218 42
getNumberOfCountries_50_79312_155371 14
getNumberOfCountries_1_35536_38625 112
getNumberOfCountries_40_45661_102827 29
getNumberOfCountries_5_74568_91737 45
getNumberOfCountries_35_94789_129232 8
getNumberOfCountries_26_108363_151844 10
getNumberOfCountries_45_109430_135643 3
getNumberOfCountries_42_48717_74733 19
----- SERVER 3-----
getNumberOfCountries_9_77736 88
getNumberOfCountries_5_54718 130
getNumberOfCountries_15_29293 108
getNumberOfCountries_15_104712 52
getNumberOfCountries_19_81631 49
getNumberOfCountries_10_31096 128
getNumberOfCountries_6_90933 98
getNumberOfCountries_7_35907 134
getNumberOfCountries_25_70829 45
getNumberOfCountries_16_81214 56
getNumberOfCountries_28_17324 93
getNumberOfCountries_28_12212 106
getNumberOfCountries_3_96387 127
getNumberOfCountries_20_52659 66
getNumberOfCountries_4_74664 126
getNumberOfCountries_6_92408 97
getNumberOfCountries_8_25869 139
getNumberOfCountries_24_64914 49
getNumberOfCountries_4_25600 156
getNumberOfCountries_27_70669 42
getNumberOfCountries_16_57737 73
getNumberOfCountries_23_12014 121
getNumberOfCountries_22_51798 63
getNumberOfCountries_19_22358 106
getNumberOfCountries_30_20989 84
getNumberOfCountries_14_13295 139
getNumberOfCountries_23_20719 96
getNumberOfCountries_3_72595 139
getNumberOfCountries_12_19252 134
getNumberOfCountries_1_79414 174
getNumberOfCountries_25_101001 37
getNumberOfCountries_8_10284 160
getNumberOfCountries_1_11781 212
getNumberOfCountries_15_18541 129
getNumberOfCountries_22_59922 59
getNumberOfCountries_17_92986 50
getNumberOfCountries_15_63649 73
getNumberOfCountries_15_46953 85
getNumberOfCountries_28_69022 42
getNumberOfCountries_11_64315 88
getNumberOfCountries_13_21051 129
getNumberOfCountries_24_29753 80
getNumberOfCountries_7_70341 103
getNumberOfCountries_1_94044 172
getNumberOfCountries_11_108526 58
getNumberOfCountries_18_54516 68
getNumberOfCountries_12_58124 89
getNumberOfCountries_12_60465 88
getNumberOfCountries_24_59794_72853 14
getNumberOfCountries_48_87642_109160 5
getNumberOfCountries_28_45545_143414 44
getNumberOfCountries_39_82984_104590 6
getNumberOfCountries_50_67229_95936 11
getNumberOfCountries_24_33277_42300 22
getNumberOfCountries_7_42787_126060 109
getNumberOfCountries_27_41985_58043 23
getNumberOfCountries_31_76777_141295 22
getNumberOfCountries_46_84577_97498 3
getNumberOfCountries_47_102866_163640 7
getNumberOfCountries_19_32228_123046 75
getNumberOfCountries_8_105374_204760 51
getNumberOfCountries_6_27645_95964 134
getNumberOfCountries_31_54591_88931 24
getNumberOfCountries_49_33782_104778 34
getNumberOfCountries_38_50019_117337 28
getNumberOfCountries_26_99801_159809 15
getNumberOfCountries_37_64750_72767 4
getNumberOfCountries_35_87564_185675 20
getNumberOfCountries_29_17905_25997 33
getNumberOfCountries_41_84660_130589 9
getNumberOfCountries_12_43636_66988 51
getNumberOfCountries_9_90404_179313 51
getNumberOfCountries_17_14219_36155 95
getNumberOfCountries_44_37093_82499 29
getNumberOfCountries_22_16952_47895 80
getNumberOfCountries_22_103334_200803 24
getNumberOfCountries_50_12939_89713 63
getNumberOfCountries_26_72912_101281 17
getNumberOfCountries_25_61941_76223 16
getNumberOfCountries_26_64230_66606 3
getNumberOfCountries_40_95097_95351 0
getNumberOfCountries_44_105530_158915 7
getNumberOfCountries_48_24883_32453 16
getNumberOfCountries_36_27762_101805 52
getNumberOfCountries_13_24007_118128 107
getNumberOfCountries_31_85598_137412 15
getNumberOfCountries_31_82258_133174 15
getNumberOfCountries_40_51735_72832 16
getNumberOfCountries_9_78717_116675 38
getNumberOfCountries_7_58146_117991 80
getNumberOfCountries_9_80523_169015 59
getNumberOfCountries_17_91580_153493 26
getNumberOfCountries_42_33227_76391 33
getNumberOfCountries_14_11106_43335 123
getNumberOfCountries_43_27606_77942 41
getNumberOfCountries_24_30650_51390 35
getNumberOfCountries_11_98445_115202 12
getNumberOfCountries_25_13858_87903 96
getNumberOfCountries_34_99037_131751 8
getNumberOfCountries_42_103790_195993 10
getNumberOfCountries_12_23218_54735 95
getNumberOfCountries_15_40379_123380 71
getNumberOfCountries_32_32556_55177 31
getNumberOfCountries_12_40911_104371 77
getNumberOfCountries_41_98454_147608 8
getNumberOfCountries_12_81947_115323 28
getNumberOfCountries_23_21828_117089 82
getNumberOfCountries_26_21213_83359 75
getNumberOfCountries_23_103122_177674 21
getNumberOfCountries_1_64682_97705 153
getNumberOfCountries_20_98567_138315 16
getNumberOfCountries_10_11556_88036 147
getNumberOfCountries_26_34980_79866 48
getNumberOfCountries_41_38875_106206 34
getNumberOfCountries_48_33732_91827 33
getNumberOfCountries_22_28563_76552 68
getNumberOfCountries_18_79174_85409 5
getNumberOfCountries_32_17130_33394 48
getNumberOfCountries_34_81962_153884 18
getNumberOfCountries_40_46786_112269 29
getNumberOfCountries_8_66885_116726 61
getNumberOfCountries_18_107575_153972 22
getNumberOfCountries_12_93855_138294 26
getNumberOfCountries_44_91319_156092 10
getNumberOfCountries_21_99489_186370 24
getNumberOfCountries_50_58885_99734 16
getNumberOfCountries_24_68917_72969 3
